    ['5760m', '720m', '240m', '120m', '100G']      ;  1000014   ;      0.26362991      ;      0.26352736      ;      0.26364461      ;  2
      ['5760m', '120m', '60m', '0m', '125G']       ;   997976   ;      0.26356247      ;      0.26363966      ;      0.26325336      ;  0
     ['5760m', '1440m', '540m', '15m', '25G']      ;   999986   ;       0.26962        ;      0.26957828      ;      0.26985392      ;  2
    ['8640m', '1080m', '240m', '120m', '100G']     ;   999853   ;      0.26423547      ;      0.26417381      ;      0.26431227      ;  2
      ['360m', '120m', '60m', '15m', '125G']       ;   998236   ;      0.26321948      ;      0.26329991      ;      0.26320663      ;  0
      ['360m', '120m', '30m', '0m', '100G']        ;   997714   ;      0.2635597       ;      0.26363125      ;      0.26338893      ;  0
      ['8640m', '60m', '30m', '30m', '25G']        ;   999231   ;      0.26331016      ;      0.26346657      ;      0.26286969      ;  0
     ['2880m', '360m', '120m', '15m', '50G']       ;   999939   ;      0.26365867      ;      0.26357409      ;      0.26352605      ;  1
      ['720m', '120m', '30m', '15m', '75G']        ;  1000012   ;      0.26324582      ;      0.26336372      ;      0.26302943      ;  0
     ['5760m', '720m', '120m', '30m', '50G']       ;   999979   ;      0.26408419      ;      0.26398137      ;      0.26410317      ;  2
    ['8640m', '1440m', '1080m', '15m', '75G']      ;   999900   ;      0.26468939      ;      0.26456502      ;      0.2647438       ;  2
     ['5760m', '360m', '120m', '60m', '100G']      ;   999815   ;      0.26386487      ;      0.26382524      ;      0.26372406      ;  1
    ['10080m', '1440m', '240m', '15m', '75G']      ;   999982   ;      0.26419786      ;      0.26411536      ;      0.26408026      ;  1
      ['8640m', '120m', '60m', '30m', '25G']       ;   999700   ;      0.26376677      ;      0.26372653      ;      0.26357597      ;  1
      ['10080m', '60m', '30m', '0m', '100G']       ;   998571   ;      0.26340443      ;      0.26344532      ;       0.263255       ;  0
     ['8640m', '1440m', '120m', '0m', '25G']       ;  1000008   ;      0.27021188      ;      0.27015325      ;      0.27040535      ;  2
     ['10080m', '360m', '60m', '60m', '50G']       ;   999927   ;      0.26413926      ;      0.26403433      ;      0.26415101      ;  2
     ['1440m', '720m', '120m', '60m', '125G']      ;   999877   ;      0.26358712      ;      0.26350138      ;      0.26366532      ;  2
      ['720m', '120m', '60m', '45m', '25G']        ;   999735   ;      0.26364967      ;      0.26362902      ;      0.26377204      ;  2
     ['5760m', '1440m', '540m', '60m', '75G']      ;   999979   ;      0.26446676      ;      0.26440102      ;      0.26454484      ;  2
     ['2880m', '720m', '120m', '15m', '50G']       ;   999989   ;       0.264195       ;      0.26409456      ;      0.26419041      ;  1
     ['1440m', '240m', '60m', '15m', '125G']       ;   999926   ;      0.2635259       ;      0.26360106      ;      0.26360434      ;  2
     ['5760m', '1080m', '60m', '30m', '50G']       ;   999906   ;      0.26510668      ;      0.26505312      ;      0.26510811      ;  2
      ['5760m', '120m', '30m', '0m', '125G']       ;   999285   ;      0.2635754       ;       0.263686       ;      0.26334268      ;  0
       ['5760m', '360m', '0m', '0m', '50G']        ;   999877   ;      0.26405936      ;      0.26395416      ;      0.26406041      ;  2
      ['240m', '120m', '60m', '0m', '100G']        ;   998655   ;      0.26340601      ;      0.26344493      ;      0.26310953      ;  0
     ['10080m', '360m', '240m', '0m', '75G']       ;   999985   ;      0.26376423      ;      0.26371482      ;      0.26377183      ;  2
     ['5760m', '720m', '360m', '15m', '100G']      ;   999900   ;      0.2638973       ;      0.26381257      ;      0.2638461       ;  1
       ['360m', '120m', '60m', '0m', '25G']        ;   999353   ;      0.26358169      ;      0.26351097      ;      0.2635766       ;  1
     ['1440m', '360m', '240m', '15m', '75G']       ;   999574   ;      0.26417243      ;      0.2641423       ;      0.26411864      ;  1
     ['5760m', '360m', '240m', '45m', '125G']      ;   999996   ;      0.26378277      ;      0.26379269      ;      0.26367185      ;  0
    ['10080m', '1080m', '360m', '60m', '50G']      ;   999990   ;      0.2647211       ;      0.26463923      ;      0.26479676      ;  2
      ['360m', '240m', '30m', '15m', '100G']       ;   998922   ;      0.2636362       ;      0.26367116      ;      0.26324484      ;  0
    ['10080m', '1080m', '240m', '15m', '75G']      ;   999827   ;      0.26414368      ;      0.26405737      ;      0.26409858      ;  1
       ['5760m', '60m', '0m', '0m', '125G']        ;   997399   ;      0.26340121      ;      0.2634995       ;      0.26313812      ;  0
     ['8640m', '720m', '360m', '45m', '75G']       ;   999791   ;      0.26400211      ;      0.26392779      ;      0.26408872      ;  2
     ['2880m', '1080m', '240m', '60m', '25G']      ;   999964   ;      0.26726291      ;      0.26718783      ;      0.26725611      ;  1
     ['5760m', '240m', '30m', '15m', '100G']       ;   998953   ;      0.26329717      ;      0.26326251      ;      0.26321471      ;  1
     ['5760m', '360m', '240m', '120m', '75G']      ;   999966   ;      0.26328522      ;      0.26329267      ;      0.26325682      ;  0
    ['2880m', '1080m', '360m', '120m', '25G']      ;   999956   ;      0.26716864      ;      0.26711711      ;      0.26723027      ;  2
      ['720m', '360m', '60m', '60m', '50G']        ;   999754   ;      0.26342493      ;      0.26337585      ;      0.26360044      ;  2
     ['8640m', '240m', '120m', '45m', '50G']       ;   999957   ;      0.26378444      ;      0.2637026       ;      0.26371586      ;  1
     ['8640m', '1440m', '120m', '0m', '100G']      ;   999907   ;      0.26429963      ;      0.26422307      ;      0.26441863      ;  2
    ['10080m', '720m', '540m', '120m', '50G']      ;   999857   ;      0.2642771       ;      0.26419026      ;      0.2643635       ;  2
      ['1440m', '360m', '30m', '30m', '50G']       ;   999698   ;      0.26434383      ;      0.26423153      ;      0.26444206      ;  2
      ['2880m', '360m', '60m', '60m', '75G']       ;   999618   ;      0.26379892      ;      0.26378801      ;      0.26359093      ;  1
      ['2880m', '240m', '60m', '30m', '75G']       ;   998997   ;      0.26354373      ;      0.26355535      ;      0.26342499      ;  0
      ['360m', '120m', '30m', '15m', '125G']       ;   999721   ;      0.26321921      ;      0.26334026      ;      0.26310247      ;  0
      ['2880m', '240m', '30m', '0m', '50G']        ;   999796   ;      0.26382256      ;      0.26376978      ;      0.26392066      ;  2
      ['720m', '240m', '60m', '15m', '50G']        ;   999506   ;      0.26404327      ;      0.26404104      ;      0.2636829       ;  1
     ['5760m', '360m', '240m', '45m', '25G']       ;   999896   ;      0.26450759      ;      0.26439869      ;      0.26455176      ;  2
    ['8640m', '1440m', '720m', '45m', '125G']      ;   999885   ;      0.26401901      ;      0.26391256      ;      0.26415449      ;  2
       ['240m', '60m', '30m', '0m', '100G']        ;   996173   ;      0.26353273      ;      0.26361075      ;      0.26343852      ;  0
      ['360m', '120m', '60m', '45m', '75G']        ;   998753   ;      0.26393551      ;      0.26401967      ;      0.26361981      ;  0
    ['1440m', '1080m', '360m', '30m', '100G']      ;   999960   ;      0.26413333      ;      0.26405025      ;      0.26390815      ;  1
      ['2880m', '1440m', '30m', '0m', '50G']       ;   999968   ;      0.26545444      ;      0.26537469      ;      0.2655831       ;  2
     ['1440m', '360m', '60m', '60m', '100G']       ;  1000005   ;      0.26337144      ;      0.26334566      ;      0.26306143      ;  1
       ['720m', '360m', '30m', '0m', '25G']        ;   999903   ;      0.26457122      ;      0.26441613      ;      0.26475334      ;  2
      ['2880m', '60m', '30m', '30m', '100G']       ;  1000226   ;      0.26366219      ;      0.26374656      ;      0.26341379      ;  0
      ['10080m', '60m', '30m', '0m', '50G']        ;   998430   ;      0.26334473      ;      0.26339066      ;      0.26320162      ;  0
     ['5760m', '1080m', '720m', '0m', '25G']       ;  1000009   ;      0.26753101      ;      0.26746017      ;      0.26772135      ;  2
     ['1440m', '720m', '60m', '60m', '100G']       ;  1000010   ;      0.26416433      ;      0.26408106      ;      0.26418024      ;  2
       ['2880m', '360m', '0m', '0m', '75G']        ;   999817   ;      0.26362291      ;      0.26350996      ;      0.26356792      ;  1
    ['8640m', '1080m', '720m', '30m', '100G']      ;   999973   ;      0.26416582      ;      0.2640731       ;      0.26428536      ;  2
    ['10080m', '1080m', '240m', '60m', '75G']      ;   999980   ;      0.26442432      ;      0.26434013      ;      0.26434904      ;  1
      ['360m', '240m', '120m', '15m', '75G']       ;   999245   ;      0.26372525      ;      0.26375431      ;      0.26331729      ;  0
      ['1440m', '360m', '60m', '30m', '50G']       ;   999906   ;      0.26402354      ;      0.26393253      ;       0.264184       ;  2
    ['10080m', '720m', '360m', '60m', '100G']      ;   999858   ;      0.26386151      ;      0.26376611      ;      0.26394004      ;  2
     ['10080m', '1440m', '30m', '0m', '25G']       ;   999983   ;      0.27081099      ;      0.27075398      ;      0.27089688      ;  2
      ['2880m', '120m', '60m', '0m', '100G']       ;   998217   ;      0.26354593      ;      0.26358908      ;      0.26330233      ;  0
     ['8640m', '360m', '120m', '30m', '75G']       ;   999927   ;      0.26379111      ;      0.26372394      ;      0.26382613      ;  2
      ['360m', '120m', '30m', '30m', '50G']        ;   999714   ;      0.26322278      ;      0.26326513      ;      0.26290521      ;  0
    ['10080m', '720m', '540m', '120m', '25G']      ;   999894   ;      0.26548618      ;      0.26538816      ;      0.26539776      ;  1
    ['8640m', '1440m', '720m', '120m', '25G']      ;   999999   ;      0.27068827      ;      0.27064383      ;      0.27086636      ;  2
     ['10080m', '240m', '30m', '30m', '75G']       ;   999290   ;      0.26364934      ;      0.26363152      ;      0.26360148      ;  1
    ['5760m', '1080m', '240m', '120m', '75G']      ;   999849   ;      0.26403794      ;      0.26397237      ;      0.26412535      ;  2
